ID,site name,latitude,longitude,country
be_vlaanderen_brasschaat,"BE Vlaanderen Brasschaat",51.309200,4.520600,"Belgium"
be_vlaanderen_brasschaat_2,"BE Vlaanderen Brasschaat",51.307610,4.519840,"Belgium"
be_vlaanderen_de_inslag_brasschaat,"BE Vlaanderen De Inslag Brasschaat",51.333333,4.566667,"Belgium"
be_vlaanderen_maasmechelen,"BE Vlaanderen Maasmechelen",50.979868,5.631851,"Belgium"
be_wallonie_dorinne,"BE Wallonie Dorinne",50.311708,4.968306,"Belgium"
be_wallonie_lonzee,"BE Wallonie Lonzee",50.551620,4.746234,"Belgium"
bf_centralregion_boudtenga,"BF CentralRegion Boudtenga",12.460000,-1.250000,"Burkina Faso"
bf_ioba_bontioli,"BF Ioba Bontioli",10.865556,-3.072778,"Burkina Faso"
bf_kadiogo_ouagadougou,"BF Kadiogo Ouagadougou",12.424130,-1.487230,"Burkina Faso"
bg_galata_platform,"BG Galata Platform",43.044624,28.193190,"Bulgaria"
bg_smolyan_rozhen,"BG Smolyan Rozhen",41.694700,24.738700,"Bulgaria"
bg_starazagora_chirpan,"BG Stara Zagora Chirpan",42.214900,25.281700,"Bulgaria"
bh_bahrain,"BH  Bahrain",26.208050,50.609267,"Bahrain"
bi_bujumbura_bujumbura,"BI Bujumbura Bujumbura",-3.380000,29.383830,"Burundi"
bj_collines_kitcube_save,"BJ Collines KITcube Save",8.000928,2.427925,"Benin"
bj_donga_djougou,"BJ Donga Djougou",9.760070,1.599010,"Benin"
bj_donga_nangatchori,"BJ Donga Nangatchori",9.646983,1.740883,"Benin"
bm_southamptonparish_tudor_hill,"BM Southampton Parish Tudor Hill",32.264000,-64.879000,"Bermuda"
bn_temburong_kuala_belalong,"BN Temburong Kuala Belalong",4.538400,115.154000,"Brunei"
bo_elalto_el_alto-altiplano,"BO El Alto El Alto-Altiplano",-16.509970,-68.198580,"Bolivia"
bo_lapaz_mount_chacaltaya,"BO La Paz Mount Chacaltaya",-16.350139,-68.131500,"Bolivia"
bo_lapaz_umsa,"BO La Paz UMSA",-16.539000,-68.066470,"Bolivia"
bo_santacruz_el_refugio,"BO Santa Cruz El Refugio",-14.766388,-62.034722,"Bolivia"
bo_santacruz_flor_de_oro,"BO Santa Cruz Flor De Oro",-13.553056,-61.013889,"Bolivia"
bo_santacruz_santa_cruz,"BO Santa Cruz",-17.802133,-63.177717,"Bolivia"
bo_santacruz_santa_cruz_utepsa,"BO Santa Cruz UTEPSA",-17.767325,-63.200961,"Bolivia"
br_acre_rio_branco,"BR Acre Rio Branco",-9.957467,-67.869350,"Brazil"
br_amazonas_amazon_atto_tower,"BR Amazonas Amazon ATTO Tower",-2.144117,-58.999867,"Brazil"
br_amazonas_arm_manacapuru,"BR Amazonas ARM Manacapuru",-3.212972,-60.598056,"Brazil"
br_amazonas_balbina,"BR Amazonas Balbina",-1.916983,-59.486800,"Brazil"
br_amazonas_manaus,"BR Amazonas Manaus",-2.599080,-60.038640,"Brazil"
